Year,Month,Day,Hour,Minute,Temperature daily mean [2 m above gnd],Total Precipitation (high resolution) daily sum [sfc],Snowfall Amount (high resolution) daily sum [sfc],Temperature daily max [2 m above gnd],Temperature daily min [2 m above gnd]
2018,1,1,0,0,45.11,2,0,49.62,41.32
2018,1,2,0,0,41.92,2.3,0,46.15,38.66
2018,1,3,0,0,47.76,5.1,0,54.41,43.23
2018,1,4,0,0,50.37,12.1,0,55.56,43.72
2018,1,5,0,0,52.09,4.8,0,58.17,47.77
2018,1,6,0,0,47.48,0.2,0,54.27,42.78
2018,1,7,0,0,43.51,0,0,48.63,39.58
2018,1,8,0,0,43.52,0,0,54.52,37.42
2018,1,9,0,0,46.08,0,0,53.58,38.61
2018,1,10,0,0,45.18,0,0,52.43,39.29
2018,1,11,0,0,43.33,1.4,0,47.71,39.56
2018,1,12,0,0,40.18,0.1,0,45.01,38.26
2018,1,13,0,0,36.33,0,0,44.19,31.91
2018,1,14,0,0,36.37,0,0,45.63,31.37
2018,1,15,0,0,41.67,0,0,50.76,33.82
2018,1,16,0,0,44.97,7.3,0,48.56,42.53
2018,1,17,0,0,38.23,4.5,1.26,41.95,36.07
2018,1,18,0,0,44.1,1.8,0,49.17,37.36
2018,1,19,0,0,40.46,5.6,0.84,45.45,36.82
2018,1,20,0,0,40.56,1.3,0,46.27,36.14
2018,1,21,0,0,39.81,3.3,0,42.33,37.18
2018,1,22,0,0,48.26,20.1,0,54.05,40.41
2018,1,23,0,0,44.66,0.2,0,50.11,41.13
2018,1,24,0,0,49.23,0,0,58.66,43.29
2018,1,25,0,0,48.79,0,0,56.77,43.97
2018,1,26,0,0,44.64,2.6,0,46.96,42.49
2018,1,27,0,0,45.04,2.6,0,49.5,40.93
2018,1,28,0,0,43.4,0,0,50.88,36.05
2018,1,29,0,0,44.33,0,0,50.99,38.68
2018,1,30,0,0,45.96,0.1,0,51.66,41.18
2018,1,31,0,0,47.08,3.2,0,55.29,39.09
2018,2,1,0,0,40.54,3.7,0.35,44.15,33.82
2018,2,2,0,0,35.31,0,0,41.88,31.26
2018,2,3,0,0,35.25,0,0,40.1,32.59
2018,2,4,0,0,35.91,0,0,42.76,31.84
2018,2,5,0,0,38.25,0,0,47.01,32.31
2018,2,6,0,0,38.29,0,0,46.51,32.43
2018,2,7,0,0,35.58,0.4,0.28,38.84,33.37
2018,2,8,0,0,35.48,0,0,41.83,29.7
2018,2,9,0,0,36.93,0,0,42.58,32.95
2018,2,10,0,0,35.87,0.3,0.21,41.18,31.14
2018,2,11,0,0,37.92,1.3,0,43.99,31.69
2018,2,12,0,0,34.9,1.5,0.84,37.42,31.51
2018,2,13,0,0,34.02,0,0,40.59,29.08
2018,2,14,0,0,34.92,0,0,43.3,28.72
2018,2,15,0,0,40.62,11,0,48.13,32.76
2018,2,16,0,0,44.98,8.2,0,48.96,39.94
2018,2,17,0,0,39.62,16.8,1.75,52.84,33.22
2018,2,18,0,0,36.66,0,0,44.76,32.29
2018,2,19,0,0,36.11,0,0,42.87,30.65
2018,2,20,0,0,36.22,0,0,41.86,31.01
2018,2,21,0,0,34.1,0,0,41.81,28.74
2018,2,22,0,0,33.06,0,0,37.22,29.89
2018,2,23,0,0,32.5,0,0,37.54,27.73
2018,2,24,0,0,32.22,0,0,39.45,27.05
2018,2,25,0,0,25.28,0,0,31.68,21.45
2018,2,26,0,0,21.58,0,0,25.09,18.39
2018,2,27,0,0,21.22,0,0,25.45,16.43
2018,2,28,0,0,24.26,0,0,30.9,17.56
2018,3,1,0,0,30.56,4.3,3.01,35.74,24.46
2018,3,2,0,0,33.88,11,1.4,42.6,28.18
2018,3,3,0,0,41.33,3.3,0,51.28,30.38
2018,3,4,0,0,47.1,0.1,0,56.28,34.43
2018,3,5,0,0,49.42,0.6,0,57.29,41.79
2018,3,6,0,0,46.5,2.7,0,50.88,36.52
2018,3,7,0,0,42.37,1,0,47.98,35.38
2018,3,8,0,0,46.54,0,0,57,34.74
2018,3,9,0,0,52.53,0,0,63.93,43.38
2018,3,10,0,0,52.5,3.4,0,62.46,46.8
2018,3,11,0,0,48,4.8,0,53.46,44.65
2018,3,12,0,0,50.4,5,0,56.08,44.96
2018,3,13,0,0,46.07,1.7,0,51.15,41.85
2018,3,14,0,0,47.82,0.1,0,57.45,40.57
2018,3,15,0,0,44.31,3.1,0,51.6,38.07
2018,3,16,0,0,47.59,0.8,0,53.67,40.87
2018,3,17,0,0,41.6,14.9,0,50.07,36.28
2018,3,18,0,0,41.46,0.9,0,47.46,35.02
2018,3,19,0,0,37.12,0,0,45.01,28.76
2018,3,20,0,0,36.66,0,0,43.56,27.48
2018,3,21,0,0,34.18,0,0,43.47,25.25
2018,3,22,0,0,38.29,3.3,1.26,46.76,29.98
2018,3,23,0,0,44.14,0.5,0,51.37,38.35
2018,3,24,0,0,44.56,0,0,54.63,31.78
2018,3,25,0,0,48.43,0,0,56.8,40.91
2018,3,26,0,0,47.84,1.4,0,54.54,42.1
2018,3,27,0,0,46.84,1.1,0,54.27,37.42
2018,3,28,0,0,50.87,3,0,58.1,43.48
2018,3,29,0,0,44.52,0,0,51.26,39.16
2018,3,30,0,0,47.83,5.3,0,63.1,38.41
2018,3,31,0,0,46.42,0,0,51.6,42.06
2018,4,1,0,0,43.68,1.9,0,49.75,35.35
2018,4,2,0,0,51.49,0,0,68.56,32.23
2018,4,3,0,0,59.03,0,0,70.59,48.92
2018,4,4,0,0,52.63,1.4,0,63.14,42.57
2018,4,5,0,0,48.76,0,0,54.03,41.18
2018,4,6,0,0,51.21,0,0,66.29,36.59
2018,4,7,0,0,57.89,0,0,73.09,42.62
2018,4,8,0,0,60.36,0,0,74.1,47.66
2018,4,9,0,0,57.58,0.7,0,68.54,45.75
2018,4,10,0,0,51.79,4.1,0,59.88,41.88
2018,4,11,0,0,53.64,0,0,66.36,39.38
2018,4,12,0,0,55.29,0,0,65.34,46.58
2018,4,13,0,0,54.12,6.3,0,62.19,47.57
2018,4,14,0,0,57.82,0,0,69.24,45.16
2018,4,15,0,0,60.03,0.4,0,69.08,51.93
2018,4,16,0,0,58.71,0.2,0,66.16,53.11
2018,4,17,0,0,61.25,0,0,71.83,49.64
2018,4,18,0,0,62.05,0,0,76.15,46.9
2018,4,19,0,0,64.98,0,0,77.88,51.37
2018,4,20,0,0,69.75,0,0,79.81,58.57
2018,4,21,0,0,71.42,0,0,80.58,62.33
2018,4,22,0,0,70.61,0,0,80.83,59.59
2018,4,23,0,0,65.03,9.3,0,72.39,58.77
2018,4,24,0,0,64.36,0,0,74.01,55.72
2018,4,25,0,0,63.35,0,0,73,53.42
2018,4,26,0,0,55.86,0,0,61.63,51.06
2018,4,27,0,0,61.2,0,0,73.49,47.19
2018,4,28,0,0,60.08,0.3,0,68.47,50.67
2018,4,29,0,0,65.77,1.5,0,79.92,52.92
2018,4,30,0,0,56.01,1.7,0,64.13,47.86
2018,5,1,0,0,51.9,0,0,60.62,41.52
2018,5,2,0,0,55.63,0,0,65.32,46.49
2018,5,3,0,0,59.5,0.3,0,66.09,53.89
2018,5,4,0,0,62.43,0.1,0,73.47,50
2018,5,5,0,0,62.96,0.7,0,74.8,48.61
2018,5,6,0,0,64.91,0,0,79.66,53.28
2018,5,7,0,0,64.72,0,0,76.95,52.95
2018,5,8,0,0,66.61,0.3,0,76.35,56.16
2018,5,9,0,0,66.01,2.7,0,74.34,58.19
2018,5,10,0,0,56.21,16.8,0,60.21,52.92
2018,5,11,0,0,61.65,0,0,71.91,50.02
2018,5,12,0,0,67.81,5.2,0,77.99,55.8
2018,5,13,0,0,54.6,0.4,0,63.52,50.74
2018,5,14,0,0,57.71,5.2,0,65.62,50.09
2018,5,15,0,0,57.72,2.1,0,60.98,54.07
2018,5,16,0,0,55.99,9.8,0,61.09,51.51
2018,5,17,0,0,56.74,3.3,0,63.25,50.76
2018,5,18,0,0,59.83,0,0,70.97,46.45
2018,5,19,0,0,59.41,1.1,0,67.59,49.75
2018,5,20,0,0,59.25,0,0,68,49.77
2018,5,21,0,0,64.46,0.4,0,73.31,51.33
2018,5,22,0,0,65.89,1.9,0,75.4,58.86
2018,5,23,0,0,63.04,7.8,0,68.99,57.38
2018,5,24,0,0,66.32,0.9,0,74.73,58.24
2018,5,25,0,0,69.54,0,0,79.14,56.43
2018,5,26,0,0,71.88,1.1,0,83.44,57.7
2018,5,27,0,0,74.83,1.1,0,84.67,62.53
2018,5,28,0,0,70.15,4,0,77.86,62.04
2018,5,29,0,0,70.24,5,0,76.84,60.87
2018,5,30,0,0,70.81,1.4,0,82.4,61.25
2018,5,31,0,0,66.4,2,0,75.56,61.41
2018,6,1,0,0,66.22,1.1,0,72.84,59.99
2018,6,2,0,0,68.12,0,0,76.55,58.5
2018,6,3,0,0,71.21,0.1,0,80.26,58.91
2018,6,4,0,0,69.53,1.4,0,77.7,63.54
2018,6,5,0,0,72.58,0.7,0,81.72,61.93
2018,6,6,0,0,70.52,6.3,0,79.07,65.55
2018,6,7,0,0,66.65,7.1,0,72.23,62.67
2018,6,8,0,0,68.71,1.4,0,75.42,61.83
2018,6,9,0,0,70.89,2,0,76.26,64.98
2018,6,10,0,0,74.29,0,0,83.26,62.62
2018,6,11,0,0,72.73,5.4,0,80.89,65.5
2018,6,12,0,0,65.86,14.8,0,71.35,59.54
2018,6,13,0,0,60.41,0.6,0,68.4,55.76
2018,6,14,0,0,63.54,0,0,71.71,51.82
2018,6,15,0,0,67.28,0,0,75.43,57.47
2018,6,16,0,0,69.52,0.2,0,78.82,58.15
2018,6,17,0,0,66.94,0.6,0,71.1,61.36
2018,6,18,0,0,67.7,0,0,76.6,56.52
2018,6,19,0,0,71.05,0,0,81.32,59.7
2018,6,20,0,0,75.43,0,0,85.77,62.8
2018,6,21,0,0,72.45,0,0,83.07,56.28
2018,6,22,0,0,58.8,0,0,66.94,47.17
2018,6,23,0,0,60.76,0,0,70.16,49.68
2018,6,24,0,0,64.79,0,0,73.26,54.48
2018,6,25,0,0,65.91,0,0,73.15,54.63
2018,6,26,0,0,68.93,0,0,78.12,56.3
2018,6,27,0,0,68.25,0,0,77.97,56.05
2018,6,28,0,0,67,0.1,0,77.81,52.32
2018,6,29,0,0,72.06,0.2,0,81.45,60.17
2018,6,30,0,0,74.89,0,0,85.8,61.77
2018,7,1,0,0,73.78,0,0,85.87,61.3
2018,7,2,0,0,75.04,0.4,0,87.96,59.94
2018,7,3,0,0,75.27,2.6,0,81.54,65.86
2018,7,4,0,0,76.19,1.7,0,85.35,64.27
2018,7,5,0,0,68.8,8.8,0,75.42,62.26
2018,7,6,0,0,67.36,6,0,74.52,60.64
2018,7,7,0,0,69.78,0,0,79.77,56.07
2018,7,8,0,0,71.54,0,0,80.92,61.09
2018,7,9,0,0,71.26,0,0,81.97,58.62
2018,7,10,0,0,67.93,0.2,0,74.64,61.81
2018,7,11,0,0,64.82,0,0,72.84,55.49
2018,7,12,0,0,68.27,0,0,78.55,56.52
2018,7,13,0,0,73,0,0,82.54,60.48
2018,7,14,0,0,75.06,0,0,83.68,64.31
2018,7,15,0,0,73.06,1.5,0,84.13,62.33
2018,7,16,0,0,72.87,0.1,0,81.93,59.63
2018,7,17,0,0,72.53,0.7,0,78.48,64.99
2018,7,18,0,0,74.16,0,0,84.47,63.41
2018,7,19,0,0,75.25,0,0,84.76,61.9
2018,7,20,0,0,73.55,2.8,0,82.87,64.15
2018,7,21,0,0,68.42,5.8,0,73.51,63.91
2018,7,22,0,0,69.79,2.1,0,78.15,61.95
2018,7,23,0,0,71.4,0.6,0,79.39,62.4
2018,7,24,0,0,75.22,0,0,87.1,60.15
2018,7,25,0,0,77.91,0,0,87.4,65.08
2018,7,26,0,0,78.66,0,0,90.68,67.37
2018,7,27,0,0,77.97,0,0,88.3,65.35
2018,7,28,0,0,73.3,1.5,0,80.96,67.33
2018,7,29,0,0,76.49,0,0,86.95,63.03
2018,7,30,0,0,81.33,0,0,90.72,69.53
2018,7,31,0,0,82.46,0,0,93.15,72.77
2018,8,1,0,0,78.22,12.9,0,91.15,71.19
2018,8,2,0,0,78.1,3.2,0,89.51,66.22
2018,8,3,0,0,80.53,0,0,92.55,67.91
2018,8,4,0,0,81.97,0,0,91.65,72.18
2018,8,5,0,0,79.91,0,0,90.77,68.52
2018,8,6,0,0,79.08,0,0,90.39,65.8
2018,8,7,0,0,82.12,2.9,0,92.59,73.81
2018,8,8,0,0,78.53,1.2,0,85.62,70.2
2018,8,9,0,0,75.53,2,0,90.27,65.16
2018,8,10,0,0,67.94,0,0,74.43,59.83
2018,8,11,0,0,68.94,0,0,77.65,55.78
2018,8,12,0,0,72.74,0,0,85.19,58.8
2018,8,13,0,0,70.73,5.6,0,74.37,65.19
2018,8,14,0,0,67.41,1.2,0,73.63,62.33
2018,8,15,0,0,71.06,0,0,80.71,59.68
2018,8,16,0,0,74.46,0,0,84.99,63.05
2018,8,17,0,0,72.47,4.7,0,81.9,65.82
2018,8,18,0,0,72.1,1,0,81.34,62.02
2018,8,19,0,0,74.79,0,0,84.74,64.62
2018,8,20,0,0,75.93,0,0,85.26,66.97
2018,8,21,0,0,76.1,0,0,85.8,64.76
2018,8,22,0,0,78.66,0.1,0,88.11,68.34
2018,8,23,0,0,77.9,3.4,0,87.87,70.97
2018,8,24,0,0,68.73,2.9,0,75.2,62.73
2018,8,25,0,0,58.37,4,0,63.64,49.32
2018,8,26,0,0,58.52,0,0,68.61,47.79
2018,8,27,0,0,66.5,0,0,77.34,54.16
2018,8,28,0,0,72.4,0,0,82.22,63
2018,8,29,0,0,72.82,1.1,0,84.92,63.28
2018,8,30,0,0,65.04,0.2,0,71.02,59.52
2018,8,31,0,0,58.07,8.1,0,62.44,56.01
2018,9,1,0,0,60.48,0.1,0,66.51,55.69
2018,9,2,0,0,60.47,0.2,0,69.22,52.84
2018,9,3,0,0,63.86,0,0,71.31,55.24
2018,9,4,0,0,66.33,0,0,75.78,56.8
2018,9,5,0,0,69.26,0,0,79.9,58.96
2018,9,6,0,0,68.25,0.3,0,78.46,61.88
2018,9,7,0,0,66.33,0,0,73.74,60.87
2018,9,8,0,0,65.36,0,0,74.59,55.36
2018,9,9,0,0,69.26,0,0,79.83,58.33
2018,9,10,0,0,72.85,0,0,83.73,61.83
2018,9,11,0,0,74.41,0,0,85.19,64.96
2018,9,12,0,0,75.42,0,0,86.36,62.69
2018,9,13,0,0,69.76,4,0,81.68,62.44
2018,9,14,0,0,65.82,1.7,0,72.18,60.37
2018,9,15,0,0,64.07,0,0,72.97,56.71
2018,9,16,0,0,67.08,0,0,79.39,52.27
2018,9,17,0,0,71.37,0,0,81.41,63.46
2018,9,18,0,0,73.1,1.4,0,83.41,60.75
2018,9,19,0,0,73.83,0,0,83.57,64.33
2018,9,20,0,0,73.73,0,0,83.3,65.79
2018,9,21,0,0,70.05,0.4,0,82.53,58.59
2018,9,22,0,0,62.23,0,0,69.94,52.9
2018,9,23,0,0,69.47,9.4,0,80.87,52.9
2018,9,24,0,0,52.97,0,0,61,45.7
2018,9,25,0,0,50.88,0,0,62.55,39.34
2018,9,26,0,0,55.96,0,0,69.71,41.36
2018,9,27,0,0,63.54,0,0,75.25,51.85
2018,9,28,0,0,64.36,0,0,74.35,56.77
2018,9,29,0,0,55.82,0,0,68.47,44.85
2018,9,30,0,0,60.44,1.4,0,74.48,45.16
2018,10,1,0,0,52.45,3,0,57.54,42.8
2018,10,2,0,0,49.82,0,0,59.65,40.33
2018,10,3,0,0,57.49,0.4,0,64.49,52.72
2018,10,4,0,0,56.79,0,0,68.04,47.75
2018,10,5,0,0,61.96,0,0,74.86,47.61
2018,10,6,0,0,66.04,0,0,77.56,55.09
2018,10,7,0,0,61.2,0.3,0,67.55,54.27
2018,10,8,0,0,58.94,0,0,69.39,49.78
2018,10,9,0,0,62.54,0,0,72.5,53.76
2018,10,10,0,0,62.76,0,0,75.27,54.28
2018,10,11,0,0,63.39,0,0,74.62,53.15
2018,10,12,0,0,66.85,0,0,78.75,56.52
2018,10,13,0,0,65.62,0,0,77,56.91
2018,10,14,0,0,64.27,0,0,74.77,55.83
2018,10,15,0,0,60.22,0,0,73.27,49.6
2018,10,16,0,0,61.76,0,0,73.67,50.49
2018,10,17,0,0,62.4,0,0,71.91,53.56
2018,10,18,0,0,60.95,0,0,74.17,54.39
2018,10,19,0,0,56.33,0,0,67.23,50.25
2018,10,20,0,0,55.04,0,0,66.31,47.57
2018,10,21,0,0,52.5,0,0,64.54,45.75
2018,10,22,0,0,48.48,0,0,61.56,37.92
2018,10,23,0,0,51.79,0,0,63.27,42.71
2018,10,24,0,0,55.18,0.2,0,61.66,51.98
2018,10,25,0,0,55.45,0,0,65.86,49.1
2018,10,26,0,0,53.59,0,0,60.4,45.27
2018,10,27,0,0,46.87,10,0,52.14,43.03
2018,10,28,0,0,42.96,4.3,0,46.76,40.26
2018,10,29,0,0,45.39,0,0,59.68,37.35
2018,10,30,0,0,43.5,0,0,50.76,37.18
2018,10,31,0,0,47.33,0,0,60.71,34.81
2018,11,1,0,0,50.4,1,0,57.94,43.95
2018,11,2,0,0,51.83,0,0,57.83,47.8
2018,11,3,0,0,50.32,0,0,58.89,45.9
2018,11,4,0,0,51.19,0,0,62.26,42.94
2018,11,5,0,0,54,0,0,63.28,47.61
2018,11,6,0,0,53.85,0,0,64.94,46.6
2018,11,7,0,0,55.48,2.2,0,61.99,46.6
2018,11,8,0,0,52.38,0.1,0,58.32,47.08
2018,11,9,0,0,53.98,0,0,62.65,46.99
2018,11,10,0,0,53.97,1.1,0,63.03,43.57
2018,11,11,0,0,56.83,3.3,0,65.52,49.71
2018,11,12,0,0,55.76,0,0,65.55,49.41
2018,11,13,0,0,53.82,0.5,0,59.88,48.16
2018,11,14,0,0,50.65,0,0,59.4,45.05
2018,11,15,0,0,47,0,0,55.72,38.7
2018,11,16,0,0,43.03,0,0,50.68,35.4
2018,11,17,0,0,38.52,0,0,47.32,31.21
2018,11,18,0,0,34.87,0,0,42.58,28.8
2018,11,19,0,0,33.99,0,0,40.51,26.46
2018,11,20,0,0,35.39,0,0,46.02,28.58
2018,11,21,0,0,39.24,0,0,46.15,33.15
2018,11,22,0,0,43.05,0,0,51.08,38.19
2018,11,23,0,0,42.71,4.5,0,50.23,33.64
2018,11,24,0,0,47.16,0,0,53.73,40.6
2018,11,25,0,0,43.27,0,0,50.25,36.54
2018,11,26,0,0,42.16,0.9,0,44.82,40.06
2018,11,27,0,0,41.57,2.4,0,44.04,39.25
2018,11,28,0,0,42.7,0,0,50.36,35.06
2018,11,29,0,0,47.28,0,0,56.93,37.85
2018,11,30,0,0,47.05,3.4,0,50.99,43.88
2018,12,1,0,0,45.95,0,0,51.6,40.37
2018,12,2,0,0,52.72,7.3,0,56.62,48.61
2018,12,3,0,0,55.87,12.8,0,59.97,52.75
2018,12,4,0,0,49.94,7.9,0,52.99,45.01
2018,12,5,0,0,50.09,0.3,0,56.86,44.96
2018,12,6,0,0,52.34,3.4,0,55.58,47.46
2018,12,7,0,0,51.88,0.9,0,56.41,43.66
2018,12,8,0,0,44.82,0.3,0,48.38,40.8
2018,12,9,0,0,46.69,3.3,0,48.52,43.97
2018,12,10,0,0,41.35,2.9,0,44.65,38.08
2018,12,11,0,0,37.97,1.2,0,41.54,32.63
2018,12,12,0,0,34.5,0,0,42.4,29.64
2018,12,13,0,0,31.81,0,0,38.62,27.73
2018,12,14,0,0,30,0,0,36.34,25.7
2018,12,15,0,0,32.1,0,0,36.57,28.38
2018,12,16,0,0,40.6,4.6,1.82,46.35,33.22
2018,12,17,0,0,39.9,0.1,0,46.74,34.54
2018,12,18,0,0,36.84,0,0,45.55,31.89
2018,12,19,0,0,43.45,11.1,0,46.56,35.94
2018,12,20,0,0,44.27,1.4,0,50.38,39.49
2018,12,21,0,0,49.39,0.7,0,53.92,43.11
2018,12,22,0,0,52.31,3.7,0,54.88,49.89
2018,12,23,0,0,51.76,3.1,0,55.98,46.62
2018,12,24,0,0,45.59,21,0,53.92,34.88
2018,12,25,0,0,35.72,0,0,41.67,32.25
2018,12,26,0,0,34.32,0,0,41.11,29.35
2018,12,27,0,0,39.51,0,0,47.01,31.87
2018,12,28,0,0,41.57,0,0,46.29,35.64
2018,12,29,0,0,35.61,0,0,39.36,33.17
2018,12,30,0,0,39.77,0,0,43.16,36.46
2018,12,31,0,0,42.49,0,0,46.24,39.52